uf,estado,regiao,cargo,id_tse,nome_urna,nome_completo,numero,partido,coligacao,situacao_tse,totalizacao,slug,url_tse,fonte
AC,Acre,Norte,governador,10002532492,Alan Rick,Alan Rick Miranda,10,REPUBLICANOS,TRABALHO DA ESPERANÇA,Deferido,Concorrendo,ac-gov-alan-rick,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AC/10002532492,"TSE DivulgaCandContas, consulta de 2/9/2026"
AC,Acre,Norte,governador,10002533539,Dr.luisinho,Francisco das Chagas Conceicao da Silva,36,AGIR,,Deferido,Concorrendo,ac-gov-dr-luisinho,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AC/10002533539,"TSE DivulgaCandContas, consulta de 2/9/2026"
AC,Acre,Norte,governador,10002544015,Tião Bocalom,Sebastiao Bocalom Rodrigues,45,PSDB,PRODUZIR PARA EMPREGAR,Aguardando julgamento,Concorrendo,ac-gov-tiao-bocalom,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AC/10002544015,"TSE DivulgaCandContas, consulta de 2/9/2026"
AC,Acre,Norte,governador,10002544107,Mailza Assis,Mailza Assis Cameli,11,PP,AVANÇA ACRE,Deferido,Concorrendo,ac-gov-mailza-assis,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AC/10002544107,"TSE DivulgaCandContas, consulta de 2/9/2026"
AC,Acre,Norte,governador,10002549500,Eudo Raffael,Eudo Raffael Lima da Silva,21,PCB,,Deferido,Concorrendo,ac-gov-eudo-raffael,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AC/10002549500,"TSE DivulgaCandContas, consulta de 2/9/2026"
AC,Acre,Norte,governador,10002550719,Thor Dantas,Thor Oliveira Dantas,40,PSB,FRENTE AMPLA PELO ACRE,Deferido,Concorrendo,ac-gov-thor-dantas,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AC/10002550719,"TSE DivulgaCandContas, consulta de 2/9/2026"
AL,Alagoas,Nordeste,governador,20002539642,Lenilda Luna,Lenilda Luna de Almeida,80,UP,,Aguardando julgamento,Concorrendo,al-gov-lenilda-luna,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AL/20002539642,"TSE DivulgaCandContas, consulta de 2/9/2026"
AL,Alagoas,Nordeste,governador,20002552502,Márcio Jambo,Marcio Ferreira Jambo Sobrinho,35,DEMOCRATA,,Aguardando julgamento,Concorrendo,al-gov-marcio-jambo,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AL/20002552502,"TSE DivulgaCandContas, consulta de 2/9/2026"
AL,Alagoas,Nordeste,governador,20002553350,JHC,João Henrique Holanda Caldas,45,PSDB,ALAGOAS GIGANTE,Aguardando julgamento,Concorrendo,al-gov-jhc,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AL/20002553350,"TSE DivulgaCandContas, consulta de 2/9/2026"
AL,Alagoas,Nordeste,governador,20002553745,Renan Filho,José Renan Vasconcelos Calheiros Filho,15,MDB,PRA ALAGOAS FAZER HISTÓRIA DE NOVO,Aguardando julgamento,Concorrendo,al-gov-renan-filho,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AL/20002553745,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002532272,Omar Aziz,Omar Jose Abdelaziz,55,PSD,FORÇA AMAZONAS,Deferido,Concorrendo,am-gov-omar-aziz,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002532272,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002535267,Gilberto Vasconcelos,Gilberto Vasconcelos da Silva,16,PSTU,,Aguardando julgamento,Concorrendo,am-gov-gilberto-vasconcelos,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002535267,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002536086,David Almeida,David Antônio Abisai Pereira de Almeida,70,AVANTE,PRA CIMA AMAZONAS,Aguardando julgamento,Concorrendo,am-gov-david-almeida,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002536086,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002541626,Professora Maria do Carmo,Maria do Carmo Seffair Lins de Albuquerque,22,PL,MUDAR É URGENTE,Deferido,Concorrendo,am-gov-professora-maria-do-carmo,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002541626,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002541741,Roberto Cidade,Roberto Maia Cidade Filho,44,UNIÃO,UNIÃO PELO AMAZONAS,Aguardando julgamento,Concorrendo,am-gov-roberto-cidade,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002541741,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002550776,Isael Munduruku,Isael Franklin Gonçalves,18,REDE,FEDERAÇÃO PSOL REDE(PSOL/REDE),Aguardando julgamento,Concorrendo,am-gov-isael-munduruku,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002550776,"TSE DivulgaCandContas, consulta de 2/9/2026"
AM,Amazonas,Norte,governador,40002551740,Cabo Daciolo,Benevenuto Daciolo Fonseca dos Santos,33,MOBILIZA,,Aguardando julgamento,Concorrendo,am-gov-cabo-daciolo,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AM/40002551740,"TSE DivulgaCandContas, consulta de 2/9/2026"
AP,Amapá,Norte,governador,30002530014,Dr. Furlan,Antonio Paulo de Oliveira Furlan,55,PSD,TRABALHAR PARA TRANSFORMAR O AMAPÁ,Deferido com recurso,Concorrendo,ap-gov-dr-furlan,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AP/30002530014,"TSE DivulgaCandContas, consulta de 2/9/2026"
AP,Amapá,Norte,governador,30002536311,Clécio,Clécio Luís Vilhena Vieira,44,UNIÃO,JUNTOS POR TODO O AMAPÁ,Aguardando julgamento,Concorrendo,ap-gov-clecio,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AP/30002536311,"TSE DivulgaCandContas, consulta de 2/9/2026"
AP,Amapá,Norte,governador,30002536313,Carlos Cley,Carlos Cley Ramos Paiva,16,PSTU,,Deferido,Concorrendo,ap-gov-carlos-cley,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AP/30002536313,"TSE DivulgaCandContas, consulta de 2/9/2026"
AP,Amapá,Norte,governador,30002551388,Jairo Palheta,Jairo Palheta da Silva Marques,29,PCO,,Aguardando julgamento,Concorrendo,ap-gov-jairo-palheta,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AP/30002551388,"TSE DivulgaCandContas, consulta de 2/9/2026"
AP,Amapá,Norte,governador,30002552017,Delegado Marcos,Marcos Jose Reategui de Souza,27,DC,,Deferido,Concorrendo,ap-gov-delegado-marcos,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/AP/30002552017,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002532269,Ronaldo Mansur,Ronaldo Mansur Santos Silva,50,PSOL,FEDERAÇÃO PSOL REDE(PSOL/REDE),Deferido,Concorrendo,ba-gov-ronaldo-mansur,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002532269,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002533190,ACM Neto,Antonio Carlos Peixoto de Magalhães Neto,44,UNIÃO,UNIDOS PARA MUDAR A BAHIA,Deferido,Concorrendo,ba-gov-acm-neto,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002533190,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002535253,Ariel Capistrano,Ariel da Silva Capistrano,27,DC,,Deferido com recurso,Concorrendo,ba-gov-ariel-capistrano,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002535253,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002536314,Jerônimo Rodrigues,Jeronimo Rodrigues Souza,13,PT,"MAIS BAHIA, MAIS BRASIL",Deferido,Concorrendo,ba-gov-jeronimo-rodrigues,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002536314,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002536579,Estêvão,Jose Estevao dos Santos Barbosa,27,DC,,Indeferido em prazo recursal ou com recurso,Concorrendo,ba-gov-estevao,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002536579,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002544692,Aroldo Felix,Aroldo Felix de Azevedo Junior,80,UP,,Deferido,Concorrendo,ba-gov-aroldo-felix,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002544692,"TSE DivulgaCandContas, consulta de 2/9/2026"
BA,Bahia,Nordeste,governador,50002552489,Maria Bona,Maria Bona Carrara de Sumbuy,29,PCO,,Aguardando julgamento,Concorrendo,ba-gov-maria-bona,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/BA/50002552489,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002531351,Ciro Gomes,Ciro Ferreira Gomes,45,PSDB,UNIR PARA MUDAR,Deferido,Concorrendo,ce-gov-ciro-gomes,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002531351,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002533729,Serley Leal,Serley de Souza Leal,80,UP,,Deferido,Concorrendo,ce-gov-serley-leal,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002533729,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002540336,Pedro Brito,Pedro Felipe Pinheiro Brito,30,NOVO,,Renúncia,Concorrendo,ce-gov-pedro-brito,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002540336,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002540417,Delegado Huggo,Huggo Leonardo de Lima Anastacio,14,MISSÃO,,Deferido,Concorrendo,ce-gov-delegado-huggo,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002540417,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002543969,Elmano de Freitas,Elmano de Freitas da Costa,13,PT,CEARÁ FORTE DO LADO CERTO,Deferido,Concorrendo,ce-gov-elmano-de-freitas,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002543969,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002549967,Zé Batista,Jose Batista Neto,16,PSTU,,Deferido,Concorrendo,ce-gov-ze-batista,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002549967,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002552320,Ieri Braga,Ieri de Sousa Braga Junior,29,PCO,,Deferido,Concorrendo,ce-gov-ieri-braga,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002552320,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002552498,Danilo Soares,Danilo Soares Sousa,35,DEMOCRATA,,Deferido,Concorrendo,ce-gov-danilo-soares,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002552498,"TSE DivulgaCandContas, consulta de 2/9/2026"
CE,Ceará,Nordeste,governador,60002553922,Vera Lúcia,Vera Lucia da Silva,30,NOVO,,Aguardando julgamento,Concorrendo,ce-gov-vera-lucia,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/CE/60002553922,"TSE DivulgaCandContas, consulta de 2/9/2026"
