data,uf,slug,handle,seguidores,aproximado,nome_perfil,status,fonte
2026-09-02,AC,ac-gov-alan-rick,alanrickm,82775,0,Alan Rick 🔟,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AC,ac-gov-mailza-assis,mailza.acre,65627,0,Mailza,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AC,ac-gov-eudo-raffael,eudoraffael,1303,0,Eudo Raffael,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AC,ac-gov-thor-dantas,drthordantas,13401,0,Dr Thor Dantas,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AL,al-gov-lenilda-luna,lenildaluna,18278,0,Lenilda Luna 🆙️,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AL,al-gov-renan-filho,renanfilho,738892,0,Renan Filho,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-omar-aziz,omaraziz.am,154877,0,Omar Aziz,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-gilberto-vasconcelos,gilberto_pstu,615,0,Gilberto Vasconcelos,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-david-almeida,shadiafraxe,22700,0,Dra. Shádia Fraxe,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-professora-maria-do-carmo,professoramaria.22,181579,0,Professora Maria do Carmo,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-roberto-cidade,mulherescomcidade,1447,0,,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-isael-munduruku,isael.munduruku,1698,0,Isael Munduruku 1️⃣8️⃣,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AM,am-gov-cabo-daciolo,cabodaciolo33,6837,0,Cabo Daciolo Governador - 3️⃣3️⃣,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,AP,ap-gov-delegado-marcos,marcosreateguidesouza,5650,0,Delegado Marcos 27,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,BA,ba-gov-ronaldo-mansur,ronaldomansur.psol,4377,0,Ronaldo Mansur,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,BA,ba-gov-acm-neto,acmneto,1439500,0,ACM Neto,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,BA,ba-gov-jeronimo-rodrigues,jeronimorodriguesba,984076,0,Jerônimo Rodrigues,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-ciro-gomes,cirogomes,1874175,0,Ciro Gomes,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-serley-leal,unidadepopularce,9933,0,UP Ceará,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-pedro-brito,pedropinheirobrito_,2302,0,Pedro Pinheiro Brito,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-delegado-huggo,delegadohuggoce,68992,0,Delegado Huggo Leonardo,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-elmano-de-freitas,elmanofreitas,524587,0,Elmano Freitas | Governador do Ceará,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-ze-batista,zebatista_oficial,5372,0,ZE BATISTA,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,CE,ce-gov-vera-lucia,verinhanovo,2692,0,Vera Lúcia | Candidata a Governadora,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-professor-robson,prof_robson_pstu,442,0,Prof. Robson - Candidato a Governador - DF,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-professora-samara-mineiro,samaramineiro,1648,0,Samara Mineiro,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-elisson,souelisson36,8378,0,𝗘𝗟𝗜𝗦𝗦𝗢𝗡 36 | GOVERNADOR,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-cappelli,cappelli.ricardo,251007,0,Ricardo Cappelli,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-leandro-grass,leandrograss,123408,0,Leandro Grass,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-paula-belmonte,paulabelmonteoficial,478408,0,Paula Belmonte,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,DF,df-gov-celina-leao,celinaleao,326608,0,🇧🇷Celina Leão,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,ES,es-gov-breno-barcelos,brenobarcelos14,5116,0,Breno Barcelos,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,ES,es-gov-rafael-demuner,rafael.demuner_up,483,0,Rafael Demuner,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,ES,es-gov-helder-salomao,heldersalomao,58526,0,Helder Salomão,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,ES,es-gov-lorenzo-pazolini,lorenzopazolini,158948,0,Lorenzo Pazolini,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,GO,go-gov-luciana-amorim,luciana.up,698,0,Luciana Amorim,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,MA,ma-gov-orleans-brandao,orleansbrandaoma,311521,0,Orleans Brandão,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,MA,ma-gov-reginaldo-lima,reginaldobrauno,466,0,Reginaldo Lima,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,MA,ma-gov-andre-luis,andreluismbl,28626,0,André Luís | Vote 1️⃣4️⃣,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
2026-09-02,MA,ma-gov-eduardo-braide,eduardobraide,918000,1,,aproximado (meta da página),"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (número arredondado da meta da página do perfil)"
2026-09-02,MA,ma-gov-roberto-rocha,robertorocha_ma,106168,0,Roberto Rocha,ok,"coleta própria, perfil público do Instagram via navegador, 2026-09-02 (contagem exata do endpoint de perfil)"
