uf,cargo,turno,instituto,contratante,data_ref,data_divulgacao,campo_inicio,campo_fim,amostra,margem_erro,metodologia,registro_tse,cenario,principal,candidato,partido,slug,percentual,fonte,url,revid
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,1,1,Alan Rick,Republicanos,ac-gov-alan-rick,35.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,1,1,Tião Bocalom,PL,ac-gov-tiao-bocalom,23.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,1,1,Mailza Assis,PP,ac-gov-mailza-assis,14.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,1,1,Thor Dantas,PSB,ac-gov-thor-dantas,4.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,2,0,Alan Rick,Republicanos,ac-gov-alan-rick,44.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,2,0,Mailza Assis,PP,ac-gov-mailza-assis,18.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,2,0,Thor Dantas,PSB,ac-gov-thor-dantas,4.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,3,0,Alan Rick,Republicanos,ac-gov-alan-rick,38.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,3,0,Tião Bocalom,PL,ac-gov-tiao-bocalom,27.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-08-17,,2025-08-16,2025-08-17,800,3.0,,,3,0,Thor Dantas,PSB,ac-gov-thor-dantas,4.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
