uf,cargo,turno,instituto_bruto,campo_inicio,campo_fim,amostra,margem_erro,cenario,candidato,partido,percentual,outros,indecisos,secao,tabela,ordem_col,pagina,revid
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Cleitinho,Republicanos,35.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Patrus Ananias,PT,15.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Alexandre Kalil,PDT,13.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Mateus Simões,PSD,11.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Gabriel Azevedo,MDB,7.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Flávio Roscoe,PL,5.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Ben Mendes,MISSÃO,3.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Cleitinho,Republicanos,29.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Patrus Ananias,PT,11.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Alexandre Kalil,PDT,10.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Mateus Simões,PSD,7.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Gabriel Azevedo,MDB,5.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Flávio Roscoe,PL,3.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
