uf,estado,cargo,instituto,data_divulgacao,cenario,candidato,percentual,registro_tse,amostra,margem_erro,metodologia,contratante,data_campo,url,fonte
AL,Alagoas,governador,Paraná Pesquisas,2026-08-31,estimulado,JHC,47.2,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,governador,Paraná Pesquisas,2026-08-31,estimulado,Renan Filho,41.3,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,governador,Paraná Pesquisas,2026-08-31,estimulado,Lenilda Luna,1.0,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,governador,Paraná Pesquisas,2026-08-31,estimulado,Márcio Jambo,0.4,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Arthur Lira,40.4,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Renan,36.8,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Marina JHC,28.4,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Davi Davino Filho,24.4,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Dr. Wanderley,10.8,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Alexandre Fleming,2.5,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
AL,Alagoas,senador,Paraná Pesquisas,2026-08-31,estimulado,Mariedson,0.3,AL-03316/2026,1400,2.7,telefônica,TV Pajuçara,26 a 29/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-alagoas-agosto/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,governador,Quaest,2026-08-29,estimulado,Dr. Daniel,28,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,governador,Quaest,2026-08-29,estimulado,Hana Ghassan,27,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,governador,Quaest,2026-08-29,estimulado,Gal Leite,2,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,governador,Quaest,2026-08-29,estimulado,Well Macedo,2,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,governador,Quaest,2026-08-29,estimulado,Araceli,2,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,governador,Quaest,2026-08-29,estimulado,José Moita,1,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,senador,Quaest,2026-08-29,estimulado,Helder,23,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,senador,Quaest,2026-08-29,estimulado,Delegado Éder Mauro,14,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,senador,Quaest,2026-08-29,estimulado,Zequinha Marinho,11,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
PA,Pará,senador,Quaest,2026-08-29,estimulado,Celso Sabino,7,PA-07718/2026,804,3,presencial,TV Liberal,25 a 28/08/2026,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-para-agosto-2026/,"ficha técnica registrada no TSE, via Gazeta do Povo"
