uf,slug,verbete,pontuacao,trecho,status
AC,ac-gov-alan-rick,Alan Rick,10,"Alan Rick Miranda (Rio Branco, 23 de outubro de 1976) é um político acreano, jornalista, administrador de empresas e autor. Nas eleições de ",aceito
AC,ac-gov-dr-luisinho,Eleições estaduais no Acre em 2026,3,do Acre». g1. Consultado em 6 de agosto de 2026. Cópia arquivada em 1 de agosto de 2026  «Agir lança Dr. Luisinho como candidato ao governo ,sem verbete localizado
AC,ac-gov-tiao-bocalom,Tião Bocalom,8,"Sebastião Bocalom Rodrigues (Bela Vista do Paraíso, 18 de maio de 1953) mais conhecido como Tião Bocalom é um matemático e político brasilei",aceito
AC,ac-gov-mailza-assis,Mailza Assis,9,"vice-governadora entre 2023 e 2026, eleita na chapa de Gladson Cameli em 2022. Mailza Assis da Silva nasceu na cidade de Mundo Novo, em Mato",aceito
AC,ac-gov-eudo-raffael,Eleições estaduais no Acre em 2026,2,"(UPB (UNIÃO e PP), MDB, PL, PDT e Democrata) 21 Eudo Raffael Eudo Raffael Lima da Silva PCB Sem cargo político anterior Poeta Cesinha Cesar ",sem verbete localizado
AC,ac-gov-thor-dantas,Eleições estaduais no Acre em 2026,3,"Gomes, Walace (30 de julho de 2026). «PSB lança Dr. Thor Dantas como candidato ao governo do Acre». g1. Consultado em 12 de agosto de 2026. ",sem verbete localizado
AL,al-gov-lenilda-luna,Eleição municipal em Maceió em 2020,2,PCdoB Sem cargo político anterior Partido Isolado 80 Lenilda Luna Lenilda Luna de Almeida UP Sem cargo político anterior Vânia Gomes Ivanild,sem verbete localizado
AL,al-gov-marcio-jambo,Eleições estaduais em Alagoas em 2026,2,"FE Brasil (PT, PCdoB e PV), PSD, PSB e Agir) 35 Márcio Jambo Márcio Ferreira Jambo Sobrinho Democrata Sem cargo político anterior Jaudinete ",sem verbete localizado
AL,al-gov-jhc,João Henrique Caldas,8,"João Henrique Holanda Caldas (Maceió, 22 de julho de 1987), mais conhecido como JHC, é um advogado e político brasileiro, filiado ao Partido",aceito
AL,al-gov-renan-filho,Renan Filho,7,"José Renan Vasconcelos Calheiros Filho (Murici, 8 de outubro de 1979) é um economista e político brasileiro, filiado ao Movimento Democrátic",aceito
AM,am-gov-omar-aziz,Omar Aziz,9,"Omar José Abdel Aziz ComMM (Garça, 13 de agosto de 1958) é um engenheiro civil e político brasileiro. Foi o 46.º Governador do Amazonas, pel",aceito
AM,am-gov-gilberto-vasconcelos,Jarbas Vasconcelos,4,"Jarbas de Andrade Vasconcelos GOMM • GOIH (Vicência, 23 de agosto de 1942) é um advogado e político brasileiro, filiado ao Movimento Democrá",sem verbete localizado
AM,am-gov-david-almeida,David Almeida,9,"David Antônio Abisai Pereira de Almeida (Manaus, 8 de fevereiro de 1969) é um político brasileiro filiado ao Avante. Foi prefeito da cidade ",aceito
AM,am-gov-professora-maria-do-carmo,Maria do Carmo Seffair,10,"Maria do Carmo Seffair Lins de Albuquerque (Manaus, 26 de novembro de 1959) é uma empresária, contadora, advogada, educadora e política bras",aceito
AM,am-gov-roberto-cidade,Roberto Cidade,10,"Roberto Maia Cidade Filho (Manaus, 2 de outubro de 1986) é um político brasileiro filiado ao União Brasil (UNIÃO). É governador do Amazonas ",aceito
AM,am-gov-isael-munduruku,Eleições estaduais no Amazonas em 2026,1,"Magalhães, Mara (2 de agosto de 2026). «Federação Rede/Psol oficializa Isael Munduruku na disputa pelo Governo do Amazonas». Amazonas1 | Últ",sem verbete localizado
AM,am-gov-cabo-daciolo,Cabo Daciolo,8,"Benevenuto Daciolo Fonseca dos Santos (Florianópolis, 30 de março de 1976), mais conhecido como Cabo Daciolo, é um bombeiro militar, pastor ",aceito
AP,ap-gov-dr-furlan,Antônio Furlan,8,"Antônio Paulo de Oliveira Furlan (San José, 9 de julho de 1973) é um médico e político brasileiro-costarriquenho filiado ao Partido Social D",aceito
AP,ap-gov-clecio,Clécio Luís,8,"Clécio Luís Vilhena Vieira (Belém, 8 de abril de 1972) é um professor e político brasileiro, filiado ao União Brasil. É atualmente governado",aceito
AP,ap-gov-carlos-cley,Eleições estaduais no Amapá em 2026,3,"Prudêncio, Maria Clara (31 de julho de 2026). «PSTU lança Carlos Cley como candidato ao governo do Amapá». g1. Consultado em 6 de agosto de ",sem verbete localizado
AP,ap-gov-jairo-palheta,Eleições estaduais no Amapá em 2026,3,Cópia arquivada em 21 de agosto de 2026  «PCO lança Jairo Palheta como candidato ao governo do Amapá». g1. 5 de agosto de 2026. Consultado e,sem verbete localizado
AP,ap-gov-delegado-marcos,Marcos Reátegui,8,"Marcos José Reátegui Souza, ou simplesmente Marcos Reátegui (Macapá, 6 de outubro de 1960) é um procurador público, delegado da polícia fede",aceito
BA,ba-gov-ronaldo-mansur,Eleições estaduais na Bahia em 2026,3,governo da Bahia». g1. 22 de julho de 2026. Consultado em 28 de agosto de 2026. Cópia arquivada em 23 de julho de 2026  «Psol lança Ronaldo ,sem verbete localizado
BA,ba-gov-acm-neto,ACM Júnior,7,"pai, Antônio Carlos Magalhães, como senador pela Bahia. É pai do ex-prefeito de Salvador, ACM Neto e irmão do ex-Deputado Federal Luís Eduar",aceito
BA,ba-gov-ariel-capistrano,Eleições estaduais na Bahia em 2026,2,"PCdoB e PV), MDB, PSD, PSB, Avante e PDT) 27 Ariel Capistrano Ariel da Silva Capistrano DC Sem cargo político anterior Zé Augusto José Augus",sem verbete localizado
BA,ba-gov-jeronimo-rodrigues,Jerônimo Rodrigues,9,"Jerônimo Rodrigues Souza (Aiquara, 3 de abril de 1965) é um professor universitário, engenheiro agrônomo e político brasileiro. Filiado ao P",aceito
BA,ba-gov-estevao,Estêvão José da Rocha,5,"Estêvão José da Rocha, primeiro e único Barão da Araruna, foi um fazendeiro e militar brasileiro, tendo sido Coronel da Guarda Nacional. Nas",sem verbete localizado
BA,ba-gov-aroldo-felix,Eleições estaduais na Bahia em 2026,3,governo da Bahia». g1. 24 de julho de 2026. Consultado em 28 de agosto de 2026. Cópia arquivada em 24 de julho de 2026  «UP lança Aroldo Fél,sem verbete localizado
BA,ba-gov-maria-bona,Eleições estaduais na Bahia em 2026,3,"2026. Cópia arquivada em 25 de agosto de 2026  «Quem é Maria Bona, candidata ao governo da Bahia nas eleições de 2026». GZH. 16 de agosto de",sem verbete localizado
CE,ce-gov-ciro-gomes,Ciro Gomes,9,"Ciro Ferreira Gomes (Pindamonhangaba, São Paulo, 6 de novembro de 1957) é um advogado, professor universitário, escritor e político brasilei",aceito
CE,ce-gov-serley-leal,Eleições estaduais no Ceará em 2022,3,o candidato a Governador do Ceará em 2022». Diário do Nordeste  «Serley Leal: conheça o candidato a governador do Ceará em 2022». Diário do ,sem verbete localizado
CE,ce-gov-pedro-brito,Pedro Brito,9,"Pedro Brito do Nascimento (Fortaleza, 5 de abril de 1950) é um economista brasileiro. Foi ministro-chefe da Secretaria Nacional dos Portos d",aceito
CE,ce-gov-delegado-huggo,Delegado Huggo Leonardo,9,"Huggo Leonardo de Lima Anastácio, conhecido como Delegado Huggo, é um delegado de polícia e político brasileiro. Integra a Polícia Civil do ",aceito
CE,ce-gov-elmano-de-freitas,Elmano de Freitas,9,"Elmano de Freitas da Costa (Baturité, 12 de abril de 1970) é um advogado e político brasileiro. Filiado ao Partido dos Trabalhadores (PT), é",aceito
CE,ce-gov-ze-batista,Eleições estaduais no Ceará em 2026,3,governo do Ceará». g1. 27 de julho de 2026. Consultado em 20 de agosto de 2026. Cópia arquivada em 27 de julho de 2026  «PSTU lança Zé Batis,sem verbete localizado
CE,ce-gov-ieri-braga,Eleições estaduais no Ceará em 2026,3,Ceará». g1. 1 de agosto de 2026. Consultado em 20 de agosto de 2026. Cópia arquivada em 1 de agosto de 2026  «PCO registra candidatura de Ie,sem verbete localizado
CE,ce-gov-danilo-soares,Lista de episódios de Agora É Tarde com Danilo Gentili,4,"Entre 2011 e 2013, o comediante stand-up Danilo Gentili apresentou o late-night talk show Agora É Tarde, que foi criado por ele, exibido pel",sem verbete localizado
CE,ce-gov-vera-lucia,Eleições estaduais no Ceará em 2026,3,governo do Ceará». g1. 15 de agosto de 2026. Consultado em 20 de agosto de 2026. Cópia arquivada em 15 de agosto de 2026  «Novo anuncia Vera,sem verbete localizado
DF,df-gov-professor-robson,Robson Rodovalho,4,"Robson Lemos Rodovalho (Anápolis, Goiás, 15 de agosto de 1955) é pastor, físico e ex-deputado federal brasileiro, fundador, junto com Maria ",sem verbete localizado
DF,df-gov-professora-samara-mineiro,Eleições distritais no Distrito Federal em 2026,2,Resgatar Brasília (PSD e Avante) 80 Professora Samara Mineiro Samara Mineiro Oliveira UP Sem cargo político anterior Thaís Oliveira Thaís Ol,sem verbete localizado
