data,candidato,evento,categoria,descricao,url
2025-04-04,Ronaldo Caiado,"Lança pré-candidatura em Salvador pelo União Brasil (contexto, 2025)",contexto,Exame (4/4/2025): lançamento em evento em Salvador sem a presença do presidente nacional do União Brasil.,https://exame.com/brasil/caiado-lanca-candidatura-a-presidencia-sem-a-presenca-do-presidente-nacional-do-uniao-brasil/
2025-08-16,Romeu Zema,"Lança pré-candidatura à Presidência em São Paulo (contexto, 2025)",contexto,CartaCapital (16/8/2025): oficializou a pré-candidatura em cerimônia em SP com discurso anti-STF e promessa de tirar o Brasil do Brics.,https://www.cartacapital.com.br/politica/zema-lanca-pre-candidatura-a-presidencia-com-discurso-anti-pt-e-promessa-de-tirar-o-brasil-do-brics/
2025-11,Renan Santos,"TSE aprova o registro do partido Missão (contexto, 2025)",contexto,"Agência Pública (31/7/2026): 'no início de novembro de 2025, a criação do Partido Missão' foi aprovada pelo TSE; Correio Braziliense (28/8) confirma novembro de 2025. Dia exato não localizado. Renan foi escolhido pré-candidato em convenção online ainda em 2025 (Correio Braziliense).",https://apublica.org/2026/07/partido-missao-o-projeto-de-poder-de-renan-santos-e-do-mbl/
2025-12,Pablo Marçal,"TRE-SP mantém inelegibilidade por 8 anos (contexto, 2025)",justiça eleitoral,"Congresso em Foco (5/8/2026): 'A condenação original foi estabelecida pelo tribunal em dezembro de 2025' por uso indevido dos meios de comunicação ('campeonato de cortes'); em novembro de 2025 o TRE-SP havia revertido a condenação por venda de apoio (Gazeta do Povo, 26/8). Dia exato não localizado.",https://www.congressoemfoco.com.br/noticia/121052/por-unanimidade-tre-sp-mantem-pablo-marcal-inelegivel-ate-2032
2025-12-05,Flávio Bolsonaro,"Anuncia pré-candidatura com aval de Jair Bolsonaro (contexto, 2025)",contexto,Poder360 (8/12/2025) fala em 'anúncio de candidatura em 5 de dezembro'; Al Jazeera (6/12/2025) descreve o post com foto beijando a cabeça do pai e a nota de Valdemar Costa Neto confirmando o nome.,https://www.poder360.com.br/poder-gente/flavio-cresce-100-000-por-dia-no-instagram-diz-eduardo/
2026-01-01,todos,Início do registro obrigatório de pesquisas eleitorais,calendário,"Data em que passa a ser obrigatório o registro das pesquisas de opinião sobre a eleição na Justiça Eleitoral (calendário TSE, notícia de 6/3/2026 atualizada em 14/7/2026).",https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-02-01,Samara Martins,Diretório Nacional da UP aprova Samara como pré-candidata,contexto,"Site da Unidade Popular (6/2/2026): 'Em reunião do Diretório Nacional, neste domingo, 01 de fevereiro, de forma unânime, foi aprovado o nome de Samara Martins'. CNN (7/4) e CartaCapital (10/4) confirmam 'em fevereiro'.",https://unidadepopular.org.br/blog/samara-e-a-pre-candidata-da-unidade-popular-a-presidencia-do-brasil
2026-03-05,todos,Início da janela partidária (5/3 a 3/4),calendário,Período em que detentores de mandato podem trocar de partido sem perda do cargo; também prazo para o TSE publicar as instruções das eleições.,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral
2026-03-06,Pablo Marçal,Deixa o PRTB e se filia ao União Brasil,contexto,"Poder360 (7/3/2026): 'nesta 6ª feira (6.mar.2026), sua filiação ao União Brasil'; pediu perdão a Tarcísio.",https://www.poder360.com.br/poder-partidos-politicos/pablo-marcal-se-filia-ao-uniao-brasil-e-pede-perdao-a-tarcisio/
2026-03-22,Romeu Zema,Renuncia ao governo de Minas; Mateus Simões (PSD) assume,contexto,Gazeta do Povo (22/3/2026): ALMG deu posse ao vice no domingo 22/3; Zema deixou o cargo para disputar a Presidência.,https://www.gazetadopovo.com.br/eleicoes/2026/zema-renuncia-e-mateus-simoes-assume-governo-de-mg/
2026-03-23,Ronaldo Caiado,Ratinho Junior desiste da disputa interna no PSD,contexto,Gazeta do Povo (30/3/2026): 'o caminho ... ficou livre após a desistência de Ratinho Junior (PSD) na última segunda-feira (23)'. Caiado havia se filiado ao PSD após deixar o União Brasil (Gazeta fala em fim de janeiro; Poder360 26/7 fala em março).,https://www.gazetadopovo.com.br/eleicoes/2026/ronaldo-caiado-sera-candidato-a-presidente-pelo-psd/
