uf,cargo,nome_citado,partido_citado,id_tse,slug,nome_urna,status,motivo,natureza,medida,posicao,percentual,instituto,contratante,registro_tse,campo_inicio,campo_fim,entrevistas,margem,confianca,coleta,tipo,fonte,fonte_url,data_acesso
RJ,depfed,Altineu Cortês,PL,190002532810,,ALTINEU CORTES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Áureo Ribeiro,SOLIDARIEDADE,190002534839,,AUREO RIBEIRO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Bebeto,PP,190002541063,,BEBETO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Daniela Carneiro,REPUBLICANOS,190002543344,,DANIELA DO WAGUINHO,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""DANIELA DO WAGUINHO""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Diogo Balieiro,PL,190002532816,,DIOGO BALIEIRO DINIZ,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""DIOGO BALIEIRO DINIZ""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Dr. João,PSDB,190002550507,,DR. JOÃO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Dr. Luizinho,PP,190002541060,,DR. LUIZINHO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Fabiano Horta,PT,190002543065,,FABIANO HORTA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Felipe Curi,PP,190002541068,,DELEGADO FELIPE CURI,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""DELEGADO FELIPE CURI""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Fernando Jordão,MDB,190002539332,,FERNANDO JORDÃO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Filippe Poubel,PL,190002532809,,POUBEL,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""POUBEL""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Glauber Braga,PSOL,190002536155,,GLAUBER BRAGA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Gutemberg Reis,MDB,190002539336,,GUTEMBERG REIS,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
