uf,cargo,registro_tse,campo_inicio,campo_fim,instituto,entrevistas,acumulado,cumulativa,coleta,margem,confianca,tipo,natureza,medida,nome_citado,partido_citado,posicao,percentual,id_tse,slug,nome_urna,status,motivo,fonte_url,data_acesso
RJ,depest,RJ-00630/2026,,,Vetor Arrow,14510,,1,telefone (URA),,,espontanea,registrada,posição no ranking de citações espontâneas,Rosenverg Reis,,2,,190002538819,,ROSENVERG REIS,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-assume-a-lideranca-entre-os-candidatos-a-deputado-estadual/,2026-09-10
RJ,depest,RJ-00630/2026,,,Vetor Arrow,14510,,1,telefone (URA),,,espontanea,registrada,posição no ranking de citações espontâneas,Rafael Nobre,,3,,190002541640,,RAFAEL NOBRE,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-assume-a-lideranca-entre-os-candidatos-a-deputado-estadual/,2026-09-10
RJ,depest,RJ-00630/2026,,,Vetor Arrow,14510,,1,telefone (URA),,,espontanea,registrada,posição no ranking de citações espontâneas,Flávio Serafini,,4,,190002536110,,FLAVIO SERAFINI,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-assume-a-lideranca-entre-os-candidatos-a-deputado-estadual/,2026-09-10
RJ,depest,RJ-00630/2026,,,Vetor Arrow,14510,,1,telefone (URA),,,espontanea,registrada,posição no ranking de citações espontâneas,Renato Miranda,,5,,190002533695,,RENATO MIRANDA,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-assume-a-lideranca-entre-os-candidatos-a-deputado-estadual/,2026-09-10
RJ,depest,RJ-00630/2026,,,Vetor Arrow,14510,,1,telefone (URA),,,espontanea,registrada,posição no ranking de citações espontâneas,Felipinho Ravis,,6,,190002541653,,FELIPINHO RAVIS,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-assume-a-lideranca-entre-os-candidatos-a-deputado-estadual/,2026-09-10
RJ,depest,RJ-00630/2026,,,Vetor Arrow,14510,,1,telefone (URA),,,espontanea,registrada,posição no ranking de citações espontâneas,Jair Bittencourt,,8,,190002533424,,JAIR BITTENCOURT,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-assume-a-lideranca-entre-os-candidatos-a-deputado-estadual/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,43000,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Rosenverg Reis,,1,,190002538819,,ROSENVERG REIS,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-e-o-destaque-entre-os-candidatos-a-deputado-estadual-veja-o-ranking-dos-mais-citados/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,43000,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Flávio Serafini,,3,,190002536110,,FLAVIO SERAFINI,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-e-o-destaque-entre-os-candidatos-a-deputado-estadual-veja-o-ranking-dos-mais-citados/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,43000,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Jair Bittencourt,,7,,190002533424,,JAIR BITTENCOURT,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-e-o-destaque-entre-os-candidatos-a-deputado-estadual-veja-o-ranking-dos-mais-citados/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,43000,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,André Ceciliano,,8,,190002543309,,ANDRÉ CECILIANO,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-e-o-destaque-entre-os-candidatos-a-deputado-estadual-veja-o-ranking-dos-mais-citados/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,43000,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Carlinhos BNH,,9,,190002541679,,CARLINHOS BNH,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://agendadopoder.com.br/vetor-arrow-canella-e-o-destaque-entre-os-candidatos-a-deputado-estadual-veja-o-ranking-dos-mais-citados/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,14605,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Flávio Serafini,,3,,190002536110,,FLAVIO SERAFINI,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://mancheterio.com.br/ceciliano-canela-e-rosenverg-aparecem-entre-os-candidatos-a-deputado-estadual-mais-citados-em-pesquisa-vettor-arrow-veja-o-ranking/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,14605,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Márcio Canella,,4,,190002541682,,MÁRCIO CANELLA,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://mancheterio.com.br/ceciliano-canela-e-rosenverg-aparecem-entre-os-candidatos-a-deputado-estadual-mais-citados-em-pesquisa-vettor-arrow-veja-o-ranking/,2026-09-10
RJ,depest,RJ-04533/2026,,,Vetor Arrow,14605,,1,,,,espontanea,registrada,posição no ranking de citações espontâneas,Renato Miranda,,5,,190002533695,,RENATO MIRANDA,resolvido,"nome de urna único no cargo, partido divergente da matéria",https://mancheterio.com.br/ceciliano-canela-e-rosenverg-aparecem-entre-os-candidatos-a-deputado-estadual-mais-citados-em-pesquisa-vettor-arrow-veja-o-ranking/,2026-09-10
