uf,slug,nome_urna,nome_completo,verbete,pontuacao,trecho,status
RJ,rj-dep-est-alan-lopes,ALAN LOPES,ALAN LOPES SANTANA,Alan Lopes,12,"Alan Lopes Santana, (Rio de Janeiro, 25 de fevereiro de 1980) é deputado estadual eleito pelo estado do Rio de Janeiro, é filiado ao Partido Liberal (PL).",aceito
RJ,rj-dep-est-alexandre-knoploch,ALEXANDRE KNOPLOCH,ALEXANDRE GOMES KNOPLOCH DOS SANTOS,Alexandre Knoploch,12,"Alexandre Gomes Knoploch dos Santos (Rio de Janeiro, 23 de julho de 1986) é um empresário e político brasileiro filiado ao Partido Liberal. Foi deputado estadual do Rio de Janeiro entre 2019 e 2023, e",aceito
RJ,rj-dep-est-anderson-moraes,ANDERSON MORAES,ANDERSON LUIS DE MORAES,Anderson Moraes,12,"Anderson Luis de Moraes (Nova Iguaçu, 12 de fevereiro de 1980) é um empresário e político brasileiro, filiado ao Partido Liberal (PL). Está no segundo mandato como deputado estadual do Rio de Janeiro,",aceito
RJ,rj-dep-est-carlos-minc,CARLOS MINC,CARLOS MINC BAUMFELD,Carlos Minc,12,"Carlos Minc Baumfeld (Rio de Janeiro, 12 de julho de 1951) é um geógrafo, professor, ambientalista, político, ex-guerrilheiro e economista brasileiro, filiado ao Partido Socialista Brasileiro. É deput",aceito
RJ,rj-dep-est-chico-machado,CHICO MACHADO,FRANCISCO ALVES MACHADO NETO,,2,"Francisco Alves Machado Neto, conhecido como Chico Machado (Macaé, 10 de dezembro de 1975), é um produtor rural, gestor público e político brasileiro, filiado ao Partido Liberal. Está no segundo manda",sem verbete localizado
RJ,rj-dep-est-delegado-carlos-augusto,DELEGADO CARLOS AUGUSTO,CARLOS AUGUSTO NOGUEIRA PINTO,Delegado Carlos Augusto,12,"Carlos Augusto Nogueira Pinto (Nova Iguaçu, 19 de agosto de 1975) é um delegado, professor e político brasileiro, filiado ao Partido Liberal (PL). É deputado estadual do Rio de Janeiro.",aceito
RJ,rj-dep-est-dr-deodalto,DR. DEODALTO,DEODALTO JOSE FERREIRA,Doutor Deodalto,12,"Deodalto José Ferreira (Central de Minas, 13 de maio de 1967), conhecido como Dr. Deodalto, é um político brasileiro, filiado ao Partido Liberal (PL), atualmente é deputado estadual pelo estado do Rio",aceito
RJ,rj-dep-est-dr-pedro-ricardo,DR. PEDRO RICARDO,PEDRO RICARDO DE CARVALHO OLIVEIRA,Pedro Ricardo,12,"Pedro Ricardo de Carvalho Oliveira (Saquarema, 18 de junho de 1981) mais conhecido como Dr. Pedro Ricardo é um médico cardiologista e político brasileiro filiado ao Partido Liberal. Atualmente exerce ",aceito
RJ,rj-dep-est-fred-pacheco,FRED PACHECO,FREDERICO AUGUSTO CRUZ PACHECO,Fred Pacheco,12,"Frederico Augusto Cruz Pacheco (Sorocaba, 9 de janeiro de 1975) mais conhecido como Fred Pacheco é um músico, compositor, cantor de música católica e político brasileiro filiado ao Partido Liberal. At",aceito
RJ,rj-dep-est-giselle-monteiro,GISELLE MONTEIRO,GISELLE LOUISE MONTEIRO DE OLIVEIRA,Giselle Monteiro,12,"Giselle Louise Monteiro de Oliveira (Rio de Janeiro, 13 de abril de 1984) é uma psicóloga e política brasileira, filiada ao Partido Liberal (PL). É deputada estadual do Rio de Janeiro, filha de Robert",aceito
