data,candidato,plataforma,seguidores,variacao_dia,trends_indice,mencoes,fonte,url_fonte,observacao
2025-12-31,Flávio Bolsonaro,datrix_idp,,,36.09,,Datrix via Gazeta do Povo (9/2/2026),https://www.gazetadopovo.com.br/eleicoes/2026/flavio-assume-heranca-bolsonaro-redes-sociais-lideranca-indice-presidenciaveis/,"Dezembro/2025 (contexto, fora da janela); 1º lugar. Caiado 32,99; Lula 27,29"
2026-01-01,Renan Santos,total_5_redes,537000,,,,Bites via O Hoje (4/7/2026),https://ohoje.com/2026/07/04/lula-lidera-em-numero-de-seguidores-e-flavio-tem-maior-engajamento-nas-redes-aponta-levantamento/,"Valor de início do semestre inferido da frase 'passou de 537 mil para 2,8 milhões'; data 1/1 é o início do período de referência da Bites (1/1 a 28-30/6); valor arredondado pela fonte"
2026-01-27,Flávio Bolsonaro,total_ig_tt_yt_x,17400000,,,,Bites via O Tempo (27/1/2026),https://www.otempo.com.br/politica/governo/2026/1/27/de-olho-no-planalto-zema-cresce-30-9-nas-redes-sociais-em-um-ano,"+4.988.867 (+40,0%) em 12 meses. Tarcísio 10,9 milhões (+19,1%); valor arredondado pela fonte"
2026-01-27,Lula,total_ig_tt_yt_x,37200000,,,,Bites via O Tempo (27/1/2026),https://www.otempo.com.br/politica/governo/2026/1/27/de-olho-no-planalto-zema-cresce-30-9-nas-redes-sociais-em-um-ano,"Soma de Instagram, TikTok, YouTube e X; +3.283.528 (+9,7%) em 12 meses (jan/2025 a jan/2026). Data de referência = data da matéria (inferência); valor arredondado pela fonte"
2026-01-27,Romeu Zema,total_ig_tt_yt_x,3800000,,,,Bites via O Tempo (27/1/2026),https://www.otempo.com.br/politica/governo/2026/1/27/de-olho-no-planalto-zema-cresce-30-9-nas-redes-sociais-em-um-ano,"+905.915 (+30,9%) em 12 meses. Eduardo Leite 2,6 milhões; Ratinho Jr. 2,5 milhões; valor arredondado pela fonte"
2026-01-27,Ronaldo Caiado,total_ig_tt_yt_x,4500000,,,,Bites via O Tempo (27/1/2026),https://www.otempo.com.br/politica/governo/2026/1/27/de-olho-no-planalto-zema-cresce-30-9-nas-redes-sociais-em-um-ano,"+1.696.143 (+60,4%) em 12 meses; valor arredondado pela fonte"
2026-01-31,Flávio Bolsonaro,datrix_idp,,,37.18,,Datrix via Gazeta do Povo (9/2/2026),https://www.gazetadopovo.com.br/eleicoes/2026/flavio-assume-heranca-bolsonaro-redes-sociais-lideranca-indice-presidenciaveis/,Janeiro/2026; 1º lugar; escala -100 a 100
2026-01-31,Lula,datrix_idp,,,16.58,,Datrix via Gazeta do Povo (9/2/2026),https://www.gazetadopovo.com.br/eleicoes/2026/flavio-assume-heranca-bolsonaro-redes-sociais-lideranca-indice-presidenciaveis/,"Janeiro/2026; 3º lugar (caiu de 27,29 em dezembro)"
2026-01-31,Ronaldo Caiado,datrix_idp,,,30.77,,Datrix via Gazeta do Povo (9/2/2026),https://www.gazetadopovo.com.br/eleicoes/2026/flavio-assume-heranca-bolsonaro-redes-sociais-lideranca-indice-presidenciaveis/,Janeiro/2026; 2º lugar
2026-02-09,Flávio Bolsonaro,instagram,8500000,,,,"Gazeta do Povo (9/2/2026), citando relatório Datrix",https://www.gazetadopovo.com.br/eleicoes/2026/flavio-assume-heranca-bolsonaro-redes-sociais-lideranca-indice-presidenciaveis/,"'8,5 milhões de seguidores no Instagram'; data de referência = data da matéria (inferência). Jair Bolsonaro: 27 milhões; valor arredondado pela fonte"
